Date : 2022-07-23 14:54:45
Directory : /home/john/Desktop/tsfolder1
Total : 171 files,  248585 codes, 681 comments, 1254 blanks, all 250520 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/package-lock.json                  | JSON               |     28,572 |          0 |          1 |     28,573 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/package.json                       | JSON               |         38 |          0 |          1 |         39 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/public/index.html                  | HTML               |         20 |         23 |          1 |         44 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/public/manifest.json               | JSON               |         25 |          0 |          1 |         26 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/src/App.js                         | JavaScript         |         13 |          0 |          4 |         17 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/src/BlogList.js                    | JavaScript         |         14 |          0 |          3 |         17 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/src/Home.js                        | JavaScript         |         15 |          0 |          3 |         18 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/src/NavBar.js                      | JavaScript         |         12 |          0 |          1 |         13 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/src/index.css                      | CSS                |         46 |          2 |          2 |         50 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/src/index.js                       | JavaScript         |         10 |          3 |          5 |         18 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/src/logo.svg                       | XML                |          1 |          0 |          0 |          1 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/react_cm/src/useFetch.js                    | JavaScript         |         28 |          0 |          4 |         32 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/src/App.js                                  | JavaScript         |         13 |          0 |          4 |         17 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/src/BlogList.js                             | JavaScript         |         14 |          0 |          3 |         17 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/src/Home.js                                 | JavaScript         |         15 |          0 |          3 |         18 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/src/NavBar.js                               | JavaScript         |         12 |          0 |          1 |         13 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/src/index.css                               | CSS                |         46 |          2 |          2 |         50 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/src/index.js                                | JavaScript         |         10 |          3 |          5 |         18 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/src/logo.svg                                | XML                |          1 |          0 |          0 |          1 |
| /home/john/Desktop/tsfolder1/react_cm/nyt-blog/src/useFetch.js                             | JavaScript         |         28 |          0 |          4 |         32 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/README.md                          | Markdown           |         38 |          0 |         33 |         71 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/data/db.json                       | JSON               |         16 |          0 |          0 |         16 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/package-lock.json                  | JSON               |     28,795 |          0 |          1 |     28,796 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/package.json                       | JSON               |         39 |          0 |          1 |         40 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/public/index.html                  | HTML               |         20 |         23 |          1 |         44 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/public/manifest.json               | JSON               |         25 |          0 |          1 |         26 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/src/App.js                         | JavaScript         |         24 |          0 |          4 |         28 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/src/BlogDetails.js                 | JavaScript         |         10 |          0 |          2 |         12 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/src/BlogList.js                    | JavaScript         |         15 |          0 |          4 |         19 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/src/Create.js                      | JavaScript         |          8 |          0 |          1 |          9 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/src/Home.js                        | JavaScript         |         15 |          0 |          3 |         18 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/src/NavBar.js                      | JavaScript         |         15 |          0 |          1 |         16 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/src/index.css                      | CSS                |         46 |          2 |          2 |         50 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/src/index.js                       | JavaScript         |         10 |          3 |          5 |         18 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/src/logo.svg                       | XML                |          1 |          0 |          0 |          1 |
| /home/john/Desktop/tsfolder1/react_cm/react_fx/react_cm/src/useFetch.js                    | JavaScript         |         34 |          0 |          5 |         39 |
| /home/john/Desktop/tsfolder1/react_tutorial/01tut/README.md                                | Markdown           |         38 |          0 |         33 |         71 |
| /home/john/Desktop/tsfolder1/react_tutorial/01tut/package-lock.json                        | JSON               |     28,531 |          0 |          1 |     28,532 |
| /home/john/Desktop/tsfolder1/react_tutorial/01tut/package.json                             | JSON               |         38 |          0 |          1 |         39 |
| /home/john/Desktop/tsfolder1/react_tutorial/01tut/public/index.html                        | HTML               |         20 |         23 |          1 |         44 |
| /home/john/Desktop/tsfolder1/react_tutorial/01tut/public/manifest.json                     | JSON               |         25 |          0 |          1 |         26 |
| /home/john/Desktop/tsfolder1/react_tutorial/01tut/src/App.css                              | CSS                |         33 |          0 |          6 |         39 |
| /home/john/Desktop/tsfolder1/react_tutorial/01tut/src/App.js                               | JavaScript         |         24 |          0 |          4 |         28 |
| /home/john/Desktop/tsfolder1/react_tutorial/01tut/src/App.test.js                          | JavaScript         |          7 |          0 |          2 |          9 |
| /home/john/Desktop/tsfolder1/react_tutorial/01tut/src/index.css                            | CSS                |         12 |          0 |          2 |         14 |
| /home/john/Desktop/tsfolder1/react_tutorial/01tut/src/index.js                             | JavaScript         |         10 |          0 |          3 |         13 |
| /home/john/Desktop/tsfolder1/react_tutorial/01tut/src/logo.svg                             | XML                |          1 |          0 |          0 |          1 |
| /home/john/Desktop/tsfolder1/react_tutorial/01tut/src/reportWebVitals.js                   | JavaScript         |         12 |          0 |          2 |         14 |
| /home/john/Desktop/tsfolder1/react_tutorial/01tut/src/setupTests.js                        | JavaScript         |          1 |          4 |          1 |          6 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/README.md                         | Markdown           |         38 |          0 |         34 |         72 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/data/db.json                      | JSON               |         16 |          0 |          3 |         19 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/package-lock.json                 | JSON               |     34,645 |          0 |          1 |     34,646 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/package.json                      | JSON               |         39 |          0 |          1 |         40 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/public/index.html                 | HTML               |         20 |         23 |          1 |         44 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/public/manifest.json              | JSON               |         25 |          0 |          1 |         26 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/src/App.js                        | JavaScript         |         33 |          0 |          9 |         42 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/src/App.test.js                   | JavaScript         |          7 |          0 |          2 |          9 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/src/BlogDetails.js                | JavaScript         |         30 |          0 |          6 |         36 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/src/Bloglist.js                   | JavaScript         |         17 |          0 |          6 |         23 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/src/Create.js                     | JavaScript         |         58 |          0 |         11 |         69 |
